GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared gs coauthors,shared sv coauthors
,,,,,,automaticlabelingofparkinsonsdiseasegaitvideoswithweaksupervision,Automatic labeling of Parkinson's Disease gait videos with weak supervision,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,cadherinsmediatecocaineinducedsynapticplasticityandbehavioralconditioning,Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,"['Shernaz Bamji', 'Anthony Phillips']","['Shernaz X. Bamji', 'Anthony G. Phillips']"
,,,,,,kcc2driveschloridemicrodomainformationindendriticblebbing,KCC2 drives chloride microdomain formation in dendritic blebbing,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,expectationanddopaminereleasemechanismoftheplaceboeffectinparkinsonsdisease,Expectation and dopamine release: Mechanism of the placebo effect in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,theoralandfecalmicrobiotainacanadiancohortofalzheimersdisease,The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease,"['Brian MacVicar', 'Silke Appel-Cresswell']","['Brian A. MacVicar', 'Silke Appel-Cresswell']"
,,,,,,directingstemcellsandprogenitorcellsonthestageofspinalcordinjury,Directing stem cells and progenitor cells on the stage of spinal cord injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,adoubleblindcontrolledtrialofbilateralfetalnigraltransplantationinparkinsonsdisease,A double-blind controlled trial of bilateral fetal nigral transplantation in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,twophotonimagingofglutathionelevelsinintactbrainindicatesenhancedredoxbufferingindevelopingneuronsandcellsatthecerebrospinalfluidandbloodbraininterface,Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,cav32drivessustainedburstfiringwhichiscriticalforabsenceseizurepropagationinreticularthalamicneurons,"Ca<inf>V</inf>3.2 drives sustained burst-firing, which is critical for absence seizure propagation in reticular thalamic neurons","['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Terrance P. Snutch', 'Jeffrey M. LeDue']"
,,,,,,liquidxenondetectorsforpositronemissiontomography,Liquid xenon detectors for positron emission tomography,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,investigationofserotonergicparkinsonsdiseaserelatedcovariancepatternusing11cdasbpet,Investigation of serotonergic Parkinson's disease-related covariance pattern using [<sup>11</sup>C]-DASB/PET,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,sexdifferencesinpredictorsandregionalpatternsofbrainagegapestimates,Sex differences in predictors and regional patterns of brain age gap estimates,"['Liisa Galea', 'Sophia Frangou']","['Liisa A. M. Galea', 'Sophia Frangou']"
,,,,,,differentialregulationofsynapticandextrasynapticnmdareceptors,Differential regulation of synaptic and extrasynaptic NMDA receptors,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,randomizedtrialofintermittentintraputamenalglialcelllinederivedneurotrophicfactorinparkinsonsdisease,Randomized trial of intermittent intraputamenal glial cell line-derived neurotrophic factor in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,acalciumdependentfeedbackmechanismparticipatesinshapingsinglenmdaminiatureepscs,A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,impactofthespatialnormalizationtemplateandrealignmentprocedureonthespmanalysisof11craclopridepetstudies,Impact of the spatial normalization template and realignment procedure on the SPM analysis of [11C]raclopride PET studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,networkanalysisofmesoscaleopticalrecordingstoassessregionalfunctionalconnectivity,"Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,acriticalroleforastrocytesinhypercapnicvasodilationinbrain,A critical role for astrocytes in hypercapnic vasodilation in brain,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,cellpalmseqacuratedrnaseqdatabaseofpalmitoylatinganddepalmitoylatingenzymeexpressioninhumancelltypesandlaboratorycelllines,CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,"['Shernaz Bamji', 'Kurt Haas']","['Shernaz X. Bamji', 'Kurt Haas']"
,,,,,,optogeneticmodulationofglutamatergicafferentsfromtheventralsubiculumtothenucleusaccumbenseffectsondopaminefunctionresponsevigorandlocomotoractivity,"Optogenetic modulation of glutamatergic afferents from the ventral subiculum to the nucleus accumbens: Effects on dopamine function, response vigor and locomotor activity","['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,alteredcorticaldynamicsandcognitivefunctionuponhaploinsufficiencyoftheautismlinkedexcitatorysynapticsuppressormdga2,Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
,,,,,,sexeffectsoncorticalmorphologicalnetworksinhealthyyoungadults,Sex effects on cortical morphological networks in healthy young adults,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
,,,,,,aselectiverolefordopamineinthenucleusaccumbensoftheratinrandomforagingbutnotdelayedspatialwinshiftbasedforaging,A selective role for dopamine in the nucleus accumbens of the rat in random foraging but not delayed spatial win-shift-based foraging,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,dj1andαsyninlrrk2csfdonotcorrelatewithstriataldopaminergicfunction,DJ-1 and αSYN in LRRK2 CSF do not correlate with striatal dopaminergic function,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,d1receptormodulationofhippocampalprefrontalcorticalcircuitsintegratingspatialmemorywithexecutivefunctionsintherat,D<inf>1</inf> receptor modulation of hippocampal-prefrontal cortical circuits integrating spatial memory with executive functions in the rat,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,inductionofthenrf2drivenantioxidantresponseconfersneuroprotectionduringmitochondrialstressinvivo,Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,anicplsframeworkforgroupcorticomuscularcouplinganalysis,An IC-PLS framework for group corticomuscular coupling analysis,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,invivoimagingrevealsthatpregabalininhibitscorticalspreadingdepressionandpropagationtosubcorticalbrainstructures,In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Terrance P. Snutch', 'Jeffrey M. LeDue']"
,,,,,,genderdifferencesinparkinsonsdiseasedepression,Gender differences in Parkinson's disease depression,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,differencesintheemergentcodingpropertiesofcorticalandstriatalensembles,Differences in the emergent coding properties of cortical and striatal ensembles,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,invitedarticlefunctionalimaginginparkinsondisease,Invited Article: Functional imaging in Parkinson disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl']","['Martin McKeown', 'A. Jon Stoessl']"
,,,,,,extensiveturnoverofdendriticspinesandvascularremodelingincorticaltissuesrecoveringfromstroke,Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Timothy H. Murphy', 'Craig E. Brown']"
,,,,,,pbb3imaginginparkinsoniandisordersevidenceforbindingtotauandotherproteins,PBB3 imaging in Parkinsonian disorders: Evidence for binding to tau and other proteins,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,apomorphineinducedchangesinsynapticdopaminelevelspositronemissiontomographyevidenceforpresynapticinhibition,Apomorphine-induced changes in synaptic dopamine levels: Positron emission tomography evidence for presynaptic inhibition,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,structuralnetworkanalysisusingdiffusionmritractographyinparkinsonsdiseaseandcorrelationswithmotorimpairment,Structural Network Analysis Using Diffusion MRI Tractography in Parkinson's Disease and Correlations With Motor Impairment,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
,,,,,,functionaldifferencesbetweentheprelimbicandanteriorcingulateregionsoftheratprefrontalcortex,Functional Differences Between the Prelimbic and Anterior Cingulate Regions of the Rat Prefrontal Cortex,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,laminapropriaandolfactorybulbensheathingcellsexhibitdifferentialintegrationandmigrationandpromotedifferentialaxonsproutinginthelesionedspinalcord,Lamina propria and olfactory bulb ensheathing cells exhibit differential integration and migration and promote differential axon sprouting in the lesioned spinal cord,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,progranulindeficiencydecreasesgrossneuralconnectivitybutenhancestransmissionatindividualsynapses,Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,"['Shernaz Bamji', 'Ian Mackenzie', 'Lynn A Raymond']","['Shernaz X. Bamji', 'Ian Mackenzie', 'Lynn A. Raymond']"
,,,,,,novelspatialanalysismethodforpetimagesusing3dmomentinvariantsapplicationstoparkinsonsdisease,Novel spatial analysis method for PET images using 3D moment invariants: Applications to Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
,,,,,,replytolettertotheeditoristhereanythingmoretolearnfromswedd,Reply to letter to the editor: Is there anything more to learn from SWEDD?,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,dopaminereplacementremediatesriskaversioninparkinsonsdiseaseinavalueindependentmanner,Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,invivopositronemissiontomographicevidenceforcompensatorychangesinpresynapticdopaminergicnerveterminalsinparkinsonsdisease,In vivo positron emission tomographic evidence for compensatory changes in presynaptic dopaminergic nerve terminals in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,dopamineactivatesnrf2regulatedneuroprotectivepathwaysinastrocytesandmeningealcells,Dopamine activates Nrf2-regulated neuroprotective pathways in astrocytes and meningeal cells,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,effectsofintermittentthetabursttranscranialmagneticstimulationoncognitionandhippocampalvolumesinbipolardepression,Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
,,,,,,decisionsunderriskinparkinsonsdiseasepreservedevaluationofprobabilityandmagnitude,Decisions under risk in Parkinson's disease: Preserved evaluation of probability and magnitude,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,progressionofdopaminergicdysfunctioninalrrk2kindredamultitracerpetstudy,Progression of dopaminergic dysfunction in a LRRK2 kindred: A multitracer PET study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,morphinewithdrawalinducedhyperalgesiainmodelsofacuteandextendedwithdrawalisattenuatedbyltetrahydropalmatine,Morphine Withdrawal-Induced Hyperalgesia in Models of Acute and Extended Withdrawal Is Attenuated by l-Tetrahydropalmatine,"['Anthony Phillips', 'Snutch']","['Anthony G. Phillips', 'Terrance P. Snutch']"
,,,,,,longitudinalprogressionofsporadicparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Longitudinal progression of sporadic Parkinson's disease: A multi-tracer positron emission tomography study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,asmallmoleculeinduciblenrf2mediatedantioxidantresponseprovideseffectiveprophylaxisagainstcerebralischemiainvivo,A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,eegsourceextractionbyautoregressivesourceseparationrevealsabnormalsynchronizationinparkinsonsdisease,EEG source extraction by autoregressive source separation reveals abnormal synchronization in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,ca2transientsinastrocytefineprocessesoccurviaca2influxintheadultmousehippocampus,Ca<sup>2+</sup> transients in astrocyte fine processes occur via Ca<sup>2+</sup> influx in the adult mouse hippocampus,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,optogeneticmappingafterstrokerevealsnetworkwidescalingoffunctionalconnectionsandheterogeneousrecoveryoftheperiinfarct,Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,thecanadianrarediseasesmodelsandmechanismsrdmmnetworkconnectingunderstudiedgenestomodelorganisms,The Canadian Rare Diseases Models and Mechanisms (RDMM) Network: Connecting Understudied Genes to Model Organisms,"['Paul Pavlidis', 'Rankin Catharine H']","['Paul Pavlidis', 'Catharine Rankin']"
,,,,,,changesinagonistconcentrationdependencethatareafunctionofdurationofexposuresuggestnmethyldaspartatereceptornonsaturationduringsynapticstimulation,Changes in agonist concentration dependence that are a function of duration of exposure suggest N-methyl-D-aspartate receptor nonsaturation during synaptic stimulation,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,relatinghistopathologyandmechanicalstraininexperimentalcontusionspinalcordinjuryinaratmodel,Relating histopathology and mechanical strain in experimental contusion spinal cord injury in a rat model,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
,,,,,,electroconvulsiveshockbutnottranscranialmagneticstimulationtransientlyelevatescellproliferationintheadultmousehippocampus,"Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse hippocampus","['Fidel Vila-Rodriguez', 'Jason S. Snyder']","['Fidel Vila-Rodriguez', 'Jason S. Snyder']"
,,,,,,heantos4anaturalplantextractusedinthetreatmentofdrugaddictionmodulatesttypecalciumchannelsandthalamocorticalburstfiring,"Heantos-4, a natural plant extract used in the treatment of drug addiction, modulates T-type calcium channels and thalamocortical burst-firing","['Anthony Phillips', 'Snutch']","['Anthony G. Phillips', 'Terrance P. Snutch']"
,,,,,,individualizedtrackingofselfdirectedmotorlearningingrouphousedmiceperformingaskilledleverpositioningtaskinthehomecage,Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,connectivitybasedparcellationofputamenusingrestingstatefmridata,Connectivity-based parcellation of putamen using resting state fMRI data,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,interventionalimagingultrasound,Interventional imaging: Ultrasound,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,mesoscaleinfraslowspontaneousmembranepotentialfluctuationsrecapitulatehighfrequencyactivitycorticalmotifs,Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,"['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']","['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
,,,,,,hyperexcitablesuperiorcolliculusandfatalbrainstemspreadingdepolarizationinamodelofsuddenunexpecteddeathinepilepsy,Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of Sudden Unexpected Death in Epilepsy,"['Brian MacVicar', 'Snutch']","['Brian A. MacVicar', 'Terrance P. Snutch']"
,,,,,,invivodopaminergicandserotonergicdysfunctionindctn1genemutationcarriers,In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
,,,,,,anovelsegmentationmutualinformationnetworkframeworkforeeganalysisofmotortasks,"A novel segmentation, mutual information network framework for EEG analysis of motor tasks","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,antidepressanteffectsofketamineandtherolesofampaglutamatereceptorsandothermechanismsbeyondnmdareceptorantagonism,Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,nmdaglun2aandglun2breceptorsplayseparaterolesintheinductionofltpandltdintheamygdalaandintheacquisitionandextinctionofconditionedfear,NMDA GluN2A and GluN2B receptors play separate roles in the induction of LTP and LTD in the amygdala and in the acquisition and extinction of conditioned fear,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,levodopainducedchangesinsynapticdopaminelevelsincreasewithprogressionofparkinsonsdiseaseimplicationsfordyskinesias,Levodopa-induced changes in synaptic dopamine levels increase with progression of Parkinson's disease: Implications for dyskinesias,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,altereddirectionalconnectivityinparkinsonsdiseaseduringperformanceofavisuallyguidedtask,Altered directional connectivity in Parkinson's disease during performance of a visually guided task,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,differentialeffectsoflidocaineinfusionsintotheventralca1subiculumorthenucleusaccumbensontheacquisitionandretentionofspatialinformation,Differential effects of lidocaine infusions into the ventral CA1/subiculum or the nucleus accumbens on the acquisition and retention of spatial information,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,competitionbetweenphasicandasynchronousreleaseforrecoveredsynapticvesiclesatdevelopinghippocampalautapticsynapses,Competition between Phasic and Asynchronous Release for Recovered Synaptic Vesicles at Developing Hippocampal Autaptic Synapses,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,chronicmultiscaleresolutionofmousebrainnetworksusingcombinedmesoscalecorticalimagingandsubcorticalfiberphotometry,Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,multiparametricanalysisof57syngap1variantsrevealimpactsongtpasesignalinglocalizationandproteinstability,"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","['Paul Pavlidis', 'Kurt Haas']","['Paul Pavlidis', 'Kurt Haas']"
,,,,,,peripherallyderivedolfactoryensheathingcellsdonotpromoteprimaryafferentregenerationfollowingdorsalrootinjury,Peripherally-derived olfactory ensheathing cells do not promote primary afferent regeneration following dorsal root injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,hippocampallongtermdepressionmediatesacutestressinducedspatialmemoryretrievalimpairment,Hippocampal long-term depression mediates acute stress-induced spatial memory retrieval impairment,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,advancesinimaginginparkinsonsdisease,Advances in imaging in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,realtimeimagingofglutamateclearancerevealsnormalstriataluptakeinhuntingtondiseasemousemodels,Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,theeffectoflrrk2mutationsonthecholinergicsysteminmanifestandpremanifeststagesofparkinsonsdiseaseacrosssectionalpetstudy,The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,locallineardiscriminantanalysislldaforinferenceofmultisubjectfmridata,Local linear discriminant analysis (LLDA) for inference of multisubject FMRI data,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,biochemicalvariationsinthesynapticlevelofdopamineprecedemotorfluctuationsinparkinsonsdiseasepetevidenceofincreaseddopamineturnover,Biochemical variations in the synaptic level of dopamine precede motor fluctuations in Parkinson's disease: PET evidence of increased dopamine turnover,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,aheartbeatratedetectionframeworkusingmultiplenanofibersensorsignals,A heart beat rate detection framework using multiple nanofiber sensor signals,"['Martin J. McKeown', 'Z. Jane Wang', 'Peyman Servati']","['Martin McKeown', 'Peyman Servati']"
,,,,,,visualizingvesiculardopaminedynamicsinparkinsonsdisease,Visualizing vesicular dopamine dynamics in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,radiographyusedtomeasureinternalspinalcorddeformationinaninvivoratmodel,Radiography used to measure internal spinal cord deformation in an in vivo rat model,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
,,,,,,activationoftheventralsubiculumreinvigoratesbehaviorafterfailuretoachieveagoalimplicationsfordopaminergicmodulationofmotivationalprocesses,Activation of the ventral subiculum reinvigorates behavior after failure to achieve a goal: Implications for dopaminergic modulation of motivational processes,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,hiddenmarkovmultivariateautoregressivehmmmarmodelingframeworkforsurfaceelectromyographysemgdata,Hidden Markov multivariate autoregressive (HMM-mAR) modeling framework for surface electromyography (sEMG) data,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,petstudiesofparkinsonismassociatedwithmutationintheαsynucleingene,Pet studies of parkinsonism associated with mutation in the α-synuclein gene,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,adultspinalcordradialgliadisplayauniqueprogenitorphenotype,Adult spinal cord radial glia display a unique progenitor phenotype,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,atlasguidedparcellationindividualizedfunctionallyhomogenousparcellationincerebralcortex,Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,icadenoisingforeventrelatedfmristudies,ICA denoising for event-related fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,datadrivenvoxelbasedanalysisofbrainpetimagesapplicationofpcaandlassomethodstovisualizeandquantifypatternsofneurodegeneration,"Data-driven, voxel-based analysis of brain PET images: Application of PCA and LASSO methods to visualize and quantify patterns of neurodegeneration","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,multiblockplsmodelforgroupcorticomuscularactivityanalysisinparkinsondisease,Multiblock PLS model for group corticomuscular activity analysis in Parkinson disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,thexlinkedintellectualdisabilitygenezdhhc9isessentialfordendriteoutgrowthandinhibitorysynapseformation,The X-Linked Intellectual Disability Gene Zdhhc9 Is Essential for Dendrite Outgrowth and Inhibitory Synapse Formation,"['Shernaz Bamji', 'Snutch']","['Shernaz X. Bamji', 'Terrance P. Snutch']"
,,,,,,improvedmethodsforchroniclightbasedmotormappinginmiceautomatedmovementtrackingwithaccelerometersandchroniceegrecordinginabilateralthinskullpreparation,"Improved methods for chronic light-based motor mapping in mice: Automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,imagingoftheparkinsonianbraininrelationtorestorativetherapy,Imaging of the parkinsonian brain in relation to restorative therapy,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,coordinateregulationofglutathionebiosynthesisandreleasebynrf2expressinggliapotentlyprotectsneuronsfromoxidativestress,Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
