GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
heterogeneousseverityoflesionsinthestriatumofpatientswithparkinsonsdiseaseinvivopetstudiesusingdihydrotetrabenazinemethyphenidateandfdopa,"Heterogeneous severity of lesions in the striatum of patients with Parkinson's disease: In vivo PET studies using dihydrotetrabenazine, methyphenidate and F-DOPA","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,dynamicbayesiannetworksdbnsdemonstrateimpairedbrainconnectivityduringperformanceofsimultaneousmovementsinparkinsonsdisease,Dynamic Bayesian networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,Dynamic Bayesian Networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
thepresenceof3omethyl18ffluorodopa30mfdinfluencestheevaluationofthe18ffluorodopatissueinputuptakerateconstantinadiseasedependentwayastudyin,The presence of 3-O-methyl-[18F] fluoro-DOPA (30MFD) influences the evaluation of the 18F-fluorodopa tissue input uptake rate constant in a disease dependent way: a study in …,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,ethicalissuesinthemanagementofparkinsonsdisease,Ethical issues in the management of Parkinson’s Disease,Ethical Issues In The Management Of Parkinson'S Disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
amultivariateapproachfordenoisingoft2relaxationdecaycurvesinmyelinwaterfractionimaging,A Multivariate Approach for Denoising of T2 Relaxation Decay Curves in Myelin Water Fraction Imaging,"['Martin J. McKeown', 'Z. Jane Wang']",,,,incorporatingerrorratecontrolledpriorinmodellingbrainfunctionalconnectivity,Incorporating Error-Rate-Controlled Prior in Modelling Brain Functional Connectivity,Incorporating error-rate-controlled prior in modelling brain functional connectivity,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
brainpalmseqacuratedrnaseqdatabaseofpalmitoylatinganddepalmitoylatingenzymeexpressioninthemousebrain,BrainPalmSeq: A curated RNA-seq database of palmitoylating and de-palmitoylating enzyme expression in the mouse brain,"['Shernaz Bamji', 'Kurt Haas']",,,,disruptionoftheendocyticproteinhip1resultsinneurologicaldeficitsanddecreasedampareceptortrafficking,Disruption of the endocytic protein HIP1 results in neurological deficits and decreased AMPA receptor trafficking,Disruption of the endocytic protein HIP1 results in neurological deficits and decreased AMPA receptor trafficking,"['Yu Tian Wang', 'Lynn A Raymond']","['YuTian Wang', 'Lynn A. Raymond']"
correlationbetweentheregulatorychangesofpresynapticpetmarkersandtheseverityofdopamineterminallossinthestriatumofparkinsonsdisease,Correlation between the regulatory changes of presynaptic PET markers and the severity of dopamine terminal loss in the striatum of Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,nrf2genedeletionfailstoalterpsychostimulantinducedbehaviororneurotoxicity,Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
ôøåòùöôø,ÔØ Å ÒÙ× Ö ÔØ,"['Paul Pavlidis', 'Sophia Frangou', 'Vesna Sossi']",,,,roleofnr2btypenmdareceptorsinselectiveneurodegenerationinhuntingtondisease,Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
catalogingthepotentialfunctionaldiversityofcacna1esplicevariantsusinglongreadsequencing,Cataloging the potential functional diversity of Cacna1e splice variants using long-read sequencing,"['Paul Pavlidis', 'Snutch']",,,,gammafrequencyactivationofinhibitoryneuronsintheacutephaseafterstrokeattenuatesvascularandbehavioraldysfunction,Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue']"
effectofpopulationk2valuesingraphicalestimationofdvratiosofreversibleligands,Effect of population k2 values in graphical estimation of DV ratios of reversible ligands,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,learningbrainconnectivitywiththefalsediscoveryratecontrolledpcalgorithm,Learning brain connectivity with the false-discovery-rate-controlled PC-algorithm,Learning brain connectivity with the false-discovery-rate-controlled PC-algorithm,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
alteredcorticoputaminaldticonnectivitypatternsinparkinsonsdiseaseandtheirassociationwithmotorimpairment,Altered cortico-putaminal DTI connectivity patterns in Parkinson's disease and their association with motor impairment,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,homozygousalphasynucleinpa53vinfamilialparkinsonsdisease,Homozygous alpha-synuclein p. A53V in familial Parkinson's disease,Homozygous alpha-synuclein p.A53V in familial Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
invivovoltagesensitivedyeimaginginadultmicerevealsthatsomatosensorymapslosttostrokearereplacedoverweeksbynewstructuralandfunctionalcircuitswith,In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with …,"['Tim H. Murphy', 'Craig E. Brown']",,,,ascanwithoutevidenceisnotevidenceofabsencescanswithoutevidenceofdopaminergicdeficitinasymptomaticleucinerichrepeatkinase2mutationcarrier,A scan without evidence is not evidence of absence: Scans without evidence of dopaminergic deficit in a symptomatic leucine‐rich repeat kinase 2 mutation carrier,A scan without evidence is not evidence of absence: Scans without evidence of dopaminergic deficit in a symptomatic leucine-rich repeat kinase 2 mutation carrier,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
emergingneuroimagingtechnologiestowardsfuturepersonalizeddiagnosticsprognosistargetedinterventionandethicalchallenges,"Emerging neuroimaging technologies: Towards future personalized diagnostics, prognosis, targeted intervention and ethical challenges","['Todd S. Woodward', 'Vesna Sossi']",,,,phosphorylatedαsynucleininparkinsonsdiseasecorrelationdependsondiseaseseverity,Phosphorylated α-synuclein in Parkinson’s disease: correlation depends on disease severity,Phosphorylated α-synuclein in Parkinson's disease: correlation depends on disease severity,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
traditionalversuscomputerizedfingertappinginpatientswithparkinsonsdisease,Traditional Versus Computerized Finger Tapping in Patients with Parkinson’s Disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,biomechanicalaspectsofspinalcordinjury,Biomechanical aspects of spinal cord injury,Biomechanical Aspects of Spinal Cord Injury,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
molecularimagingcorrelatesofsleepdysfunctioninparkinsonsdiseasepd,Molecular imaging correlates of sleep dysfunction in Parkinson's disease (PD),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,targetedischemicstrokeinductionandmesoscopicimagingassessmentofbloodflowandischemicdepolarizationinawakemice,Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
highspeedradiographycanbeusedtomeasuredynamicspinalcorddeformationinaninvivorodentmodel,High Speed Radiography Can Be Used to Measure Dynamic Spinal Cord Deformation in an in vivo Rodent Model,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,alteredcorticalprocessingofsensoryinputinhuntingtondiseasemousemodels,Altered cortical processing of sensory input in Huntington disease mouse models,Altered cortical processing of sensory input in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
scholarmetricsscrapersmsautomatedretrievalofcitationandauthordata,Scholar Metrics Scraper (SMS): automated retrieval of citation and author data,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,robustgraftsurvivalandnormalizeddopaminergicinnervationdonotobligaterecoveryinaparkinsondiseasepatient,Robust graft survival and normalized dopaminergic innervation do not obligate recovery in a Parkinson disease patient,Robust graft survival and normalized dopaminergic innervation do not obligate recovery in a Parkinson disease patient,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
determiningthepathogenicityofavariantinmef2cinanindividualwithautismspectrumdisorderidentifiedthroughatargetedchildhoodepilepsypanel,Determining the Pathogenicity of a Variant in MEF2C in an Individual with Autism Spectrum Disorder Identified through a Targeted Childhood Epilepsy Panel,"['Shernaz Bamji', 'Kurt Haas']",,,,disruptionofampareceptorendocytosisimpairstheextinctionbutnotacquisitionoflearnedfear,"Disruption of AMPA receptor endocytosis impairs the extinction, but not acquisition of learned fear","Disruption of AMPA receptor endocytosis impairs the extinction, but not acquisition of learned fear","['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
corticalmorphologypredictsplaceboresponseinmultiplesclerosis,Cortical morphology predicts placebo response in multiple sclerosis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,3dmorphautomaticanalysisofmicroglialmorphologyinthreedimensionsfromexvivoandinvivoimaging,3DMorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,3dmorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
alterationsindynamicbrainconnectivitypatternsinparkinsonsdisease,Alterations in Dynamic Brain Connectivity Patterns in Parkinson's Disease,"['Martin J. McKeown', 'Z. Jane Wang']",,,,greenfluorescentproteinemissionobscuresmetabolicfluorescentlifetimeimagingofnadph,Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD (P) H,Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD(P)H,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
dopamineagonisttherapyaffectsuptakeoff186fluorodopaasmeasuredbypositronemissiontomography,Dopamine agonist therapy affects uptake of [F-18] 6-fluorodopa as measured by positron emission tomography,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,imagingofcompensatorymechanismsinparkinsonsdisease,Imaging of compensatory mechanisms in Parkinson's disease,Imaging of compensatory mechanisms in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
p38mapkisinvolvedinenhancednmdareceptordependentexcitotoxicityinyactransgenicmousemodelofhuntingtondisease,P38 MAPK is involved in enhanced NMDA receptor-dependent excitotoxicity in YAC transgenic mouse model of Huntington disease,"['Yu Tian Wang', 'Lynn A Raymond']",,,,aquantitativeanalysisofcontextdependentremappingofmedialfrontalcortexneuronsandensembles,A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,constructingpreciselycomputingnetworkswithbiophysicalspikingneurons,Constructing precisely computing networks with biophysical spiking neurons,Constructing precisely computing networks with biophysical spiking neurons,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne L. Fairhall', 'Eric T. Shea-Brown']"
,,,,,,dnajc12anddoparesponsivenonprogressiveparkinsonism,DNAJC12 and dopa‐responsive nonprogressive parkinsonism,DNAJC12 and dopa-responsive nonprogressive parkinsonism,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,boneenhancementinultrasoundusinglocalspectrumvariationsforguidingpercutaneousscaphoidfracturefixationprocedures,Bone enhancement in ultrasound using local spectrum variations for guiding percutaneous scaphoid fracture fixation procedures,Bone enhancement in ultrasound using local spectrum variations for guiding percutaneous scaphoid fracture fixation procedures,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,activationofneuronalnmdareceptorstriggerstransientatpmediatedmicroglialprocessoutgrowth,Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,dctn1pk56rinprogressivesupranuclearpalsy,DCTN1 p. K56R in progressive supranuclear palsy,DCTN1 p.K56R in progressive supranuclear palsy,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,automaticlabelingofparkinsonsdiseasegaitvideoswithweaksupervision,Automatic labeling of Parkinson’s Disease gait videos with weak supervision,Automatic labeling of Parkinson's Disease gait videos with weak supervision,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,cadherinsmediatecocaineinducedsynapticplasticityandbehavioralconditioning,Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,"['Shernaz Bamji', 'Anthony Phillips']","['Shernaz X. Bamji', 'Anthony G. Phillips']"
,,,,,,kcc2driveschloridemicrodomainformationindendriticblebbing,KCC2 drives chloride microdomain formation in dendritic blebbing,KCC2 drives chloride microdomain formation in dendritic blebbing,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,expectationanddopaminereleasemechanismoftheplaceboeffectinparkinsonsdisease,Expectation and dopamine release: mechanism of the placebo effect in Parkinson's disease,Expectation and dopamine release: Mechanism of the placebo effect in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,theoralandfecalmicrobiotainacanadiancohortofalzheimersdisease,The oral and fecal microbiota in a Canadian cohort of Alzheimer’s disease,The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease,"['Brian MacVicar', 'Silke Appel-Cresswell']","['Brian A. MacVicar', 'Silke Appel-Cresswell']"
,,,,,,directingstemcellsandprogenitorcellsonthestageofspinalcordinjury,Directing stem cells and progenitor cells on the stage of spinal cord injury.,Directing stem cells and progenitor cells on the stage of spinal cord injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,adoubleblindcontrolledtrialofbilateralfetalnigraltransplantationinparkinsonsdisease,A double‐blind controlled trial of bilateral fetal nigral transplantation in Parkinson's disease,A double-blind controlled trial of bilateral fetal nigral transplantation in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,twophotonimagingofglutathionelevelsinintactbrainindicatesenhancedredoxbufferingindevelopingneuronsandcellsatthecerebrospinalfluidandbloodbraininterface,Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,cav32drivessustainedburstfiringwhichiscriticalforabsenceseizurepropagationinreticularthalamicneurons,"CaV3.2 drives sustained burst‐firing, which is critical for absence seizure propagation in reticular thalamic neurons","Ca<inf>V</inf>3.2 drives sustained burst-firing, which is critical for absence seizure propagation in reticular thalamic neurons","['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Terrance P. Snutch', 'Jeffrey M. LeDue']"
,,,,,,liquidxenondetectorsforpositronemissiontomography,Liquid xenon detectors for positron emission tomography,Liquid xenon detectors for positron emission tomography,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,investigationofserotonergicparkinsonsdiseaserelatedcovariancepatternusing11cdasbpet,Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET,Investigation of serotonergic Parkinson's disease-related covariance pattern using [<sup>11</sup>C]-DASB/PET,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,sexdifferencesinpredictorsandregionalpatternsofbrainagegapestimates,Sex differences in predictors and regional patterns of brain age gap estimates,Sex differences in predictors and regional patterns of brain age gap estimates,"['Liisa Galea', 'Sophia Frangou']","['Liisa A. M. Galea', 'Sophia Frangou']"
,,,,,,differentialregulationofsynapticandextrasynapticnmdareceptors,Differential regulation of synaptic and extra-synaptic NMDA receptors,Differential regulation of synaptic and extrasynaptic NMDA receptors,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,randomizedtrialofintermittentintraputamenalglialcelllinederivedneurotrophicfactorinparkinsonsdisease,Randomized trial of intermittent intraputamenal glial cell line-derived neurotrophic factor in Parkinson’s disease,Randomized trial of intermittent intraputamenal glial cell line-derived neurotrophic factor in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,acalciumdependentfeedbackmechanismparticipatesinshapingsinglenmdaminiatureepscs,A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,impactofthespatialnormalizationtemplateandrealignmentprocedureonthespmanalysisof11craclopridepetstudies,Impact of the spatial normalization template and realignment procedure on the SPM analysis of [11C] raclopride PET studies,Impact of the spatial normalization template and realignment procedure on the SPM analysis of [11C]raclopride PET studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,networkanalysisofmesoscaleopticalrecordingstoassessregionalfunctionalconnectivity,"Network analysis of mesoscale optical recordings to assess regional, functional connectivity","Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,acriticalroleforastrocytesinhypercapnicvasodilationinbrain,A critical role for astrocytes in hypercapnic vasodilation in brain,A critical role for astrocytes in hypercapnic vasodilation in brain,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,cellpalmseqacuratedrnaseqdatabaseofpalmitoylatinganddepalmitoylatingenzymeexpressioninhumancelltypesandlaboratorycelllines,CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,"['Shernaz Bamji', 'Kurt Haas']","['Shernaz X. Bamji', 'Kurt Haas']"
,,,,,,optogeneticmodulationofglutamatergicafferentsfromtheventralsubiculumtothenucleusaccumbenseffectsondopaminefunctionresponsevigorandlocomotoractivity,"Optogenetic modulation of glutamatergic afferents from the ventral subiculum to the nucleus accumbens: effects on dopamine function, response vigor and locomotor activity","Optogenetic modulation of glutamatergic afferents from the ventral subiculum to the nucleus accumbens: Effects on dopamine function, response vigor and locomotor activity","['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,alteredcorticaldynamicsandcognitivefunctionuponhaploinsufficiencyoftheautismlinkedexcitatorysynapticsuppressormdga2,Altered cortical dynamics and cognitive function upon haploinsufficiency of the autism-linked excitatory synaptic suppressor MDGA2,Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
,,,,,,sexeffectsoncorticalmorphologicalnetworksinhealthyyoungadults,Sex effects on cortical morphological networks in healthy young adults,Sex effects on cortical morphological networks in healthy young adults,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
,,,,,,aselectiverolefordopamineinthenucleusaccumbensoftheratinrandomforagingbutnotdelayedspatialwinshiftbasedforaging,A selective role for dopamine in the nucleus accumbens of the rat in random foraging but not delayed spatial win-shift-based foraging,A selective role for dopamine in the nucleus accumbens of the rat in random foraging but not delayed spatial win-shift-based foraging,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,dj1andαsyninlrrk2csfdonotcorrelatewithstriataldopaminergicfunction,DJ-1 and αSYN in LRRK2 CSF do not correlate with striatal dopaminergic function,DJ-1 and αSYN in LRRK2 CSF do not correlate with striatal dopaminergic function,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,d1receptormodulationofhippocampalprefrontalcorticalcircuitsintegratingspatialmemorywithexecutivefunctionsintherat,D1 receptor modulation of hippocampal–prefrontal cortical circuits integrating spatial memory with executive functions in the rat,D<inf>1</inf> receptor modulation of hippocampal-prefrontal cortical circuits integrating spatial memory with executive functions in the rat,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,inductionofthenrf2drivenantioxidantresponseconfersneuroprotectionduringmitochondrialstressinvivo,Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,anicplsframeworkforgroupcorticomuscularcouplinganalysis,An IC-PLS framework for group corticomuscular coupling analysis,An IC-PLS framework for group corticomuscular coupling analysis,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,invivoimagingrevealsthatpregabalininhibitscorticalspreadingdepressionandpropagationtosubcorticalbrainstructures,In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Terrance P. Snutch', 'Jeffrey M. LeDue']"
,,,,,,genderdifferencesinparkinsonsdiseasedepression,Gender differences in Parkinson's disease depression,Gender differences in Parkinson's disease depression,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,differencesintheemergentcodingpropertiesofcorticalandstriatalensembles,Differences in the emergent coding properties of cortical and striatal ensembles,Differences in the emergent coding properties of cortical and striatal ensembles,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,invitedarticlefunctionalimaginginparkinsondisease,Invited article: functional imaging in Parkinson disease,Invited Article: Functional imaging in Parkinson disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl']","['Martin McKeown', 'A. Jon Stoessl']"
,,,,,,extensiveturnoverofdendriticspinesandvascularremodelingincorticaltissuesrecoveringfromstroke,Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Timothy H. Murphy', 'Craig E. Brown']"
,,,,,,pbb3imaginginparkinsoniandisordersevidenceforbindingtotauandotherproteins,PBB3 imaging in Parkinsonian disorders: evidence for binding to tau and other proteins,PBB3 imaging in Parkinsonian disorders: Evidence for binding to tau and other proteins,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,apomorphineinducedchangesinsynapticdopaminelevelspositronemissiontomographyevidenceforpresynapticinhibition,Apomorphine-induced changes in synaptic dopamine levels: positron emission tomography evidence for presynaptic inhibition,Apomorphine-induced changes in synaptic dopamine levels: Positron emission tomography evidence for presynaptic inhibition,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,structuralnetworkanalysisusingdiffusionmritractographyinparkinsonsdiseaseandcorrelationswithmotorimpairment,Structural network analysis using diffusion MRI tractography in Parkinson's disease and correlations with motor impairment,Structural Network Analysis Using Diffusion MRI Tractography in Parkinson's Disease and Correlations With Motor Impairment,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
,,,,,,functionaldifferencesbetweentheprelimbicandanteriorcingulateregionsoftheratprefrontalcortex,Functional differences between the prelimbic and anterior cingulate regions of the rat prefrontal cortex.,Functional Differences Between the Prelimbic and Anterior Cingulate Regions of the Rat Prefrontal Cortex,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,laminapropriaandolfactorybulbensheathingcellsexhibitdifferentialintegrationandmigrationandpromotedifferentialaxonsproutinginthelesionedspinalcord,Lamina propria and olfactory bulb ensheathing cells exhibit differential integration and migration and promote differential axon sprouting in the lesioned spinal cord,Lamina propria and olfactory bulb ensheathing cells exhibit differential integration and migration and promote differential axon sprouting in the lesioned spinal cord,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,progranulindeficiencydecreasesgrossneuralconnectivitybutenhancestransmissionatindividualsynapses,Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,"['Shernaz Bamji', 'Ian Mackenzie', 'Lynn A Raymond']","['Shernaz X. Bamji', 'Ian Mackenzie', 'Lynn A. Raymond']"
,,,,,,novelspatialanalysismethodforpetimagesusing3dmomentinvariantsapplicationstoparkinsonsdisease,Novel spatial analysis method for PET images using 3D moment invariants: Applications to Parkinson's disease,Novel spatial analysis method for PET images using 3D moment invariants: Applications to Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
,,,,,,replytolettertotheeditoristhereanythingmoretolearnfromswedd,Reply to letter to the editor: Is there anything more to learn from SWEDD?,Reply to letter to the editor: Is there anything more to learn from SWEDD?,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
